lon,lat
-73.3,-7.225
-35.3,-7.725
-35.8,-7.725
-36.3,-7.725
-36.8,-7.725
-37.3,-7.725
-37.8,-7.725
-38.3,-7.725
-38.8,-7.725
-39.3,-7.725
-39.8,-7.725
-40.3,-7.725
-40.8,-7.725
-41.3,-7.725
-41.8,-7.725
-42.3,-7.725
-42.8,-7.725
-43.3,-7.725
-43.8,-7.725
-44.3,-7.725
-44.8,-7.725
-45.3,-7.725
-45.8,-7.725
-46.3,-7.725
-46.8,-7.725
-47.3,-7.725
-47.8,-7.725
-48.3,-7.725
-48.8,-7.725
-49.3,-7.725
-49.8,-7.725
-50.3,-7.725
-50.8,-7.725
-51.3,-7.725
-51.8,-7.725
-52.3,-7.725
-52.8,-7.725
-53.3,-7.725
-53.8,-7.725
-54.3,-7.725
-54.8,-7.725
-55.3,-7.725
-55.8,-7.725
-56.3,-7.725
-56.8,-7.725
-57.3,-7.725
-57.8,-7.725
-58.3,-7.725
-58.8,-7.725
-59.3,-7.725
-59.8,-7.725
-60.3,-7.725
-60.8,-7.725
-61.3,-7.725
-61.8,-7.725
-62.3,-7.725
-62.8,-7.725
-63.3,-7.725
-63.8,-7.725
-64.3,-7.725
-64.8,-7.725
-65.3,-7.725
-65.8,-7.725
-66.3,-7.725
-66.8,-7.725
-67.3,-7.725
-67.8,-7.725
-68.3,-7.725
-68.8,-7.725
-69.3,-7.725
-69.8,-7.725
-70.3,-7.725
-70.8,-7.725
-71.3,-7.725
-71.8,-7.725
-72.3,-7.725
-72.8,-7.725
-73.3,-7.725
-35.3,-8.225
-35.8,-8.225
-36.3,-8.225
-36.8,-8.225
-37.3,-8.225
-37.8,-8.225
-38.3,-8.225
-38.8,-8.225
-39.3,-8.225
-39.8,-8.225
-40.3,-8.225
-40.8,-8.225
-41.3,-8.225
-41.8,-8.225
-42.3,-8.225
-42.8,-8.225
-43.3,-8.225
-43.8,-8.225
-44.3,-8.225
-44.8,-8.225
-45.3,-8.225
-45.8,-8.225
-46.3,-8.225
-46.8,-8.225
-47.3,-8.225
-47.8,-8.225
-48.3,-8.225
-48.8,-8.225
-49.3,-8.225
-49.8,-8.225
-50.3,-8.225
-50.8,-8.225
-51.3,-8.225
-51.8,-8.225
-52.3,-8.225
-52.8,-8.225
-53.3,-8.225
-53.8,-8.225
-54.3,-8.225
-54.8,-8.225
-55.3,-8.225
-55.8,-8.225
-56.3,-8.225
-56.8,-8.225
-57.3,-8.225
-57.8,-8.225
-58.3,-8.225
-58.8,-8.225
-59.3,-8.225
-59.8,-8.225
-60.3,-8.225
-60.8,-8.225
-61.3,-8.225
-61.8,-8.225
-62.3,-8.225
-62.8,-8.225
-63.3,-8.225
-63.8,-8.225
-64.3,-8.225
-64.8,-8.225
-65.3,-8.225
-65.8,-8.225
-66.3,-8.225
-66.8,-8.225
-67.3,-8.225
-67.8,-8.225
-68.3,-8.225
-68.8,-8.225
-69.3,-8.225
-69.8,-8.225
-70.3,-8.225
-70.8,-8.225
-71.3,-8.225
-71.8,-8.225
-72.3,-8.225
-72.8,-8.225
-73.3,-8.225
-35.3,-8.725
-35.8,-8.725
-36.3,-8.725
-36.8,-8.725
-37.3,-8.725
-37.8,-8.725
-38.3,-8.725
-38.8,-8.725
-39.3,-8.725
-39.8,-8.725
-40.3,-8.725
-40.8,-8.725
-41.3,-8.725
-41.8,-8.725
-42.3,-8.725
-42.8,-8.725
-43.3,-8.725
-43.8,-8.725
-44.3,-8.725
-44.8,-8.725
-45.3,-8.725
-45.8,-8.725
-46.3,-8.725
-46.8,-8.725
-47.3,-8.725
-47.8,-8.725
-48.3,-8.725
-48.8,-8.725
-49.3,-8.725
-49.8,-8.725
-50.3,-8.725
-50.8,-8.725
-51.3,-8.725
-51.8,-8.725
-52.3,-8.725
-52.8,-8.725
-53.3,-8.725
-53.8,-8.725
-54.3,-8.725
-54.8,-8.725
-55.3,-8.725
-55.8,-8.725
-56.3,-8.725
-56.8,-8.725
-57.3,-8.725
-57.8,-8.725
-58.3,-8.725
-58.8,-8.725
-59.3,-8.725
-59.8,-8.725
-60.3,-8.725
-60.8,-8.725
-61.3,-8.725
-61.8,-8.725
-62.3,-8.725
-62.8,-8.725
-63.3,-8.725
-63.8,-8.725
-64.3,-8.725
-64.8,-8.725
-65.3,-8.725
-65.8,-8.725
-66.3,-8.725
-66.8,-8.725
-67.3,-8.725
-67.8,-8.725
-68.3,-8.725
-68.8,-8.725
-69.3,-8.725
-69.8,-8.725
-70.3,-8.725
-70.8,-8.725
-71.3,-8.725
-71.8,-8.725
-72.3,-8.725
-72.8,-8.725
-35.8,-9.225
-36.3,-9.225
-36.8,-9.225
-37.3,-9.225
-37.8,-9.225
-38.3,-9.225
-38.8,-9.225
-39.3,-9.225
-39.8,-9.225
-40.3,-9.225
-40.8,-9.225
-41.3,-9.225
-41.8,-9.225
-42.3,-9.225
-42.8,-9.225
-43.3,-9.225
-43.8,-9.225
-44.3,-9.225
-44.8,-9.225
-45.3,-9.225
-45.8,-9.225
-46.3,-9.225
-46.8,-9.225
-47.3,-9.225
-47.8,-9.225
-48.3,-9.225
-48.8,-9.225
-49.3,-9.225
-49.8,-9.225
-50.3,-9.225
-50.8,-9.225
-51.3,-9.225
-51.8,-9.225
-52.3,-9.225
-52.8,-9.225
-53.3,-9.225
-53.8,-9.225
-54.3,-9.225
-54.8,-9.225
-55.3,-9.225
-55.8,-9.225
-56.3,-9.225
-56.8,-9.225
-57.3,-9.225
-57.8,-9.225
-58.3,-9.225
-58.8,-9.225
-59.3,-9.225
-59.8,-9.225
-60.3,-9.225
-60.8,-9.225
-61.3,-9.225
-61.8,-9.225
-62.3,-9.225
-62.8,-9.225
-63.3,-9.225
-63.8,-9.225
-64.3,-9.225
-64.8,-9.225
-65.3,-9.225
-65.8,-9.225
-66.3,-9.225
-66.8,-9.225
